date,years,discount_df,projection_df,discount_zero,projection_zero,discount_forward
2031-08-15,4.917808219178082,0.8426175415675474,0.8223273848255453,0.03482081928397694,0.039777208895277895,0.032730120752166594
2031-09-15,5.002739726027397,0.8402784703611708,0.8196992645232463,0.03478532549729737,0.039741774999869105,0.03316050427305107
2031-10-15,5.0849315068493155,0.8379617494115734,0.8171078410106967,0.03476601885340783,0.03972210760748566,0.03359088779539649
2031-11-17,5.175342465753425,0.8354207331373139,0.8142646169551511,0.03474548983015925,0.03970169798666389,0.03359088779539649
2031-12-15,5.252054794520548,0.8332707628111536,0.8118599441989941,0.034728625533354256,0.03968493177723208,0.03359088779539649
2032-01-15,5.336986301369863,0.8308968919036963,0.8092059105623093,0.03471051985066497,0.03966693140215659,0.03359088779539649
2032-02-17,5.427397260273972,0.8283772989437055,0.8063901822149292,0.0346918687361642,0.03964838876765053,0.03359088779317605
2032-03-15,5.501369863013698,0.8263214977499528,0.8040936935318874,0.03467706470956932,0.03963367084533254,0.03359088779539649
2032-04-15,5.586301369863014,0.8239674243187699,0.8014650483758743,0.034660550985027204,0.03961725316913923,0.03359088779539649
2032-05-17,5.673972602739726,0.8215444472362489,0.7987606214175323,0.03464402311343365,0.03960082142817758,0.03359088779539649
2032-06-15,5.7534246575342465,0.8193547792315974,0.7963176178153497,0.034629479816183646,0.03958636271873112,0.03359088779539649
2032-07-15,5.835616438356165,0.8170957467213599,0.7937982352622492,0.03461485175955192,0.03957181974288671,0.03359088779539649
2032-08-16,5.923287671232877,0.814692976648055,0.7911196788469971,0.034599695956196205,0.03955675208983794,0.03359088779539649
2032-09-15,6.005479452054795,0.8124467971336863,0.7886167414866889,0.034585889275162464,0.03954302571224589,0.0333721495563862
2032-10-15,6.087671232876712,0.8102359436383456,0.7861500374357174,0.03456654888868797,0.03952375354099127,0.033153411317032144
2032-11-15,6.1726027397260275,0.8079577152273696,0.7836092152709915,0.03454710491854868,0.03950437815142043,0.033153411317032144
2032-12-15,6.254794520547946,0.8057590775502935,0.7811581741961551,0.03452879094218078,0.03948612877003495,0.033153411317032144
2033-01-18,6.347945205479452,0.8032745200848392,0.7783895943981628,0.03450860841854773,0.03946601743191254,0.033153411314811705
2033-02-15,6.424657534246576,0.8012341674566438,0.7761169568293116,0.03449242696061821,0.039449893047388065,0.033153411317032144
2033-03-15,6.501369863013698,0.7991989974139072,0.7738509546029118,0.034476627366002696,0.03943414917931253,0.033153411317032144
2033-04-18,6.594520547945206,0.7967346679502602,0.7711082730432195,0.034457936320856135,0.0394155240591027,0.033153411317032144
2033-05-16,6.671232876712328,0.7947109268342653,0.7688568945001585,0.034442935622659286,0.03940057626966893,0.033153411317032144
2033-06-15,6.7534246575342465,0.7925483366971933,0.7664519970176303,0.03442724161488193,0.03938493761601762,0.033153411317032144
2033-07-15,6.835616438356165,0.7903916314623456,0.7640546217826657,0.03441192501811323,0.03936967504221366,0.033153411317032144
2033-08-15,6.920547945205479,0.7881692014594144,0.7615852115865931,0.03439648007562074,0.039354284575372406,0.033153411317032144
2033-09-15,7.005479452054795,0.7859530205043238,0.7591237824779227,0.034381409629191825,0.03933926728371461,0.033373953414091224
2033-10-17,7.093150684931507,0.7836415815697451,0.7565621304307576,0.03437168338284182,0.039329577606079136,0.0335944955107273
2033-11-15,7.1726027397260275,0.7815527123062319,0.7542481006970959,0.034363074349877835,0.039321000941333825,0.0335944955107273
2033-12-15,7.254794520547946,0.7793976722773404,0.7518617245877056,0.03435436688568477,0.0393123262154409,0.0335944955107273
2034-01-17,7.345205479452055,0.7770339909366201,0.7492454305304999,0.034345013750517614,0.039303008246165845,0.0335944955107273
2034-02-15,7.424657534246576,0.7749627348183306,0.7469537797402724,0.034336982374516746,0.0392950070665106,0.033594495508506864
2034-03-15,7.501369863013698,0.7729681403176177,0.7447478025136487,0.034329389375176274,0.039287442615308345,0.0335944955107273
